agency_abb,overview,agency_label,agency_label_abb,agency_name,agency_short_name,agency_url,agency_start_year,agency_overview_notes,date_updated
BCFD,"The City Charter establishes the Baltimore City Fire Department (BCFD) and its roles and responsibilities are specified inthe City Code. Its primary and most visible functions are to prevent and suppress fires and to provide emergency medical services. The Department also provides rescue, emergency communications, fire prevention, community outreach, education, and other services. Although response to emergencies is the focus of most of the Department’s resources, increased prevention efforts including residential fire safety training, the Mobile Safety Center, the Youth Fire and Life Safety Program, early childhood education, and free smoke detector programs have been extremely effective in controlling the incidence of fires and related injuries.

The Department of General Services manages capital projects on behalf of the Fire Department. Typical projects include systemic improvements to fire stations, such as windows, roofs, electrical systems, and more.",Baltimore City Fire Department,BCFD,Baltimore City Fire Department,Fire,https://fire.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BCHD,"The Commissioner of Health is responsible for the executive direction and control of the Baltimore City Health Department and for the enforcement of various City ordinances dealing with public health. The agency is composed of several divisions. Major program areas include environmental health; communicable disease; maternal and child health; school health; mental health with substance abuse and addictions services; health services for seniors; and healthy homes. The local Area Agency on Aging in Baltimore City is part of the Health Department. As the local health authority, the Health Department’s mission is to protect health, eliminate disparities, and enhance the wellbeing of everyone in the community through education, coordination, advocacy, and direct service delivery.

The Department of General Services manages capital projects on behalf of the Health Department. Typical projects include upgrades to senior centers and health centers.",Baltimore City Health Department,BCHD,Health Department,Health,https://health.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BCIT,"The Baltimore City Office of Information and Technology (BCIT) is responsible for providing information technology leadership to the entire City, utilizing and leveraging information technology to enhance productivity, broaden the capabilities, and reduce the operating costs of Baltimore City government, thereby improving the quality and timeliness of services delivered to residents. Through the agency's capital program, BCIT aims to stabilize and modernize the infrastructure and applications underlying critical city services to enable them to meet the ever-increasing demands of a digital society.

BCIT’s capital projects include updating major applications, public safety technology, and network infrastructure upgrades.",Baltimore City Information Technology,BCIT,Baltimore City Information Technology,Information Technology,https://technology.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BPD,"The Baltimore City Police Department’s (BPD) mission is to enforce laws fairly, impartially, and ethically. BPD is committed to creating and maintaining a culture of service that builds trust and legitimacy in all communities, values the sanctity of human life, and provides for the safety and well-being of all. The BPD is currently an agency and instrumentality of the State, established under Article 4 - Section 16 of the Code of Public Local Laws of Maryland. The agency’s purpose is to safeguard the lives and proper ties of persons within the areas under the control of the City of Baltimore, and to assist in securing protection under the law for all persons. Authority to appoint the Police Commissioner was transferred from the Governor of the State of Maryland to the Mayor of Baltimore, effective July 1, 1978. The Department of General Services manages capital projects on behalf of the Police Department.

BPD's typical projects include improvements to police stations and other BPD buildings.",Baltimore City Police Department,BPD,Baltimore City Police Department,Police,https://www.baltimorepolice.org,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BCPSS,"The Baltimore City Public School System mission is to provide excellence in education for every child at every level by focusing on quality instruction, managing systems efficiently, and sustaining a culture of excellence. To support City Schools mission, the Board of School Commissioners is responsible for providing policy direction and wide-ranging oversight that includes closely monitoring student achievement and the budget, as well as appointing key staff. The agency is responsible for maintaining 138 buildings, as well as an additional 10 administrative buildings, 10 modular buildings, and 29 portables (151 rooms).

Typical projects include major renovations and replacements for schools not being upgrades through the 21st Century Schools initiative, as well as systemic building improvements (windows, doors, electrical systems, fire suppression systems, HVAC systems, and more).",Baltimore City Public Schools,BCPSS,Baltimore City Public School System,Schools,https://www.baltimorecityschools.org,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BCC,"The Baltimore Convention Center (BCC) serves Baltimore City and the State of Maryland as a catalyst for tourism and economic development. Built in 1979, the Convention Center sells space to host events, trade shows and events by local and community, national, and international associations. The events bring attendees from outside the region to the city, which spurs positive economic impact and tax revenue generation for the City and State. Every year, the Convention Center brings in an average of 500,000 attendees and hosts over 115 events. The Convention Complex was created by City ordinance to operate and maintain the Convention Center. Following the completion of a major expansion in 1996, the Convention Center has 300,000 sq. ft. of exhibit space, making it the 47th largest convention center in the country.

The Department of General Services makes requests for capital projects on behalf of the Convention Center.",Baltimore Convention Center,BCC,Baltimore Convention Center,Convention Center,https://www.bccenter.org,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
BDC,"The Baltimore Development Corporation (BDC) is a non-profit organization, which serves as the economic development agency for the City of Baltimore. BDC’s mission is to grow the city’s economy in an inclusive manner by retaining, expanding and attracting businesses, and promoting investment, thereby increasing career opportunities for residents.

BDC's capital program is focused on its business support programs, including loans and grants for small businesses.",Baltimore Development Corporation,BDC,Baltimore Development Corporation,Baltimore Development,https://www.baltimoredevelopment.com,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
DGS,"The Department of General Services (DGS) was approved by the citizens of Baltimore in the November 2008 General Election and began operations as an independent agency on July 1, 2009. DGS is comprised of five divisions: Administration, Fleet Management, Facilities Management, Public and Private Energy Performance, and Capital Projects Division/Design and Construction. DGS is committed to providing healthy work environments and safe, reliable vehicles for City employees by delivering customer service to City agencies, which serve Baltimore’s community members and stakeholders.

The Department of General Services acts as the central design and construction agency for improvements to most of the City's buildings.",Department of General Services,DGS,Department of General Services,General Services,https://generalservices.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
HCD,"The Department of Housing and Community Development (DHCD) mission is to ensure that all residents of Baltimore City have access to adequate and affordable housing opportunities in safe, livable, and decent neighborhoods. The Department is committed to expanding housing choices and promoting healthy neighborhoods for all Baltimore residents. Major responsibilities of DHCD include working with communities and other Departments to create equitable and thriving neighborhoods while minimizing displacement through a broad range of investments, code enforcement interventions, property redevelopment, supporting capacity building for community organizations, funding before and after-care programs, summer food programs, emergency assistance, and other human services.

Typical capital projects include demolition/stabilization and associated activities, major redevelopment projects, and homeowner or home repair assistance programs.",Department of Housing and Community Development,HCD,Department of Housing and Community Development,Housing,https://dhcd.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
DPW,"The Department of Public Works (DPW) mission is to enhance and sustain healthy quality of life for every resident and customer by providing efficient management of its services. The Department of Public Works consists of three major divisions: the Bureau of Solid Waste, the Bureau of Water and Wastewater, and the Surface Water Service (Stormwater). The Bureau of Solid Waste is responsible for providing waste removal and recycling services, including curbside collection of mixed refuse, recycling, and seasonal waste for residents in around 210,000 households. The Bureau also provides vacant and abandoned property maintenance services, rat control services, as well as public right-of-way cleaning of streets, alleys, and lots. The Bureau of Water and Wastewater is responsible for the operation of a water distribution system that supplies water to 1.8 million customers in the Baltimore Metropolitan Region. These responsibilities include the operation, maintenance, and security of three watershed systems; three filtration plants; pumping stations; and 3,800 miles of water distribution mains. The Bureau’s wastewater activities include collection and treatment of wastewater, the operation and maintenance of two wastewater treatment plants, approximately 3,100 miles of collection and conveyance lines, pumping stations, and the City’s system of storm drains. The Surface Water Service consolidates all Stormwater related functions. The Division’s mission is to restore the City’s surface water to swimmable, fishable conditions in compliance with the Environmental Protection Agency and the Clean Water Act.

Capital projects include improvements to all facilities related to solid waste, water, wastewater, and stormwater service. Project involve repairs for pipes, pumping stations, water filtration, sewage treatment, reservoirs, and more.",Department of Public Works,DPW,Department of Public Works,Public Works,https://publicworks.baltimorecity.gov,,"Adapted from the the Fiscal 2024 Agency Budget Detail, Volume I-II from Bureau of the Budget and Management Research (BBMR).",2024-02-09
